Date	Time	Number	Destination Number	Duration	Service Provider
04 Sep 2006	23:34	863 555 0143	863 555 0140	0:06:07	ABC Cellphones
15 Sep 2006	15:50	863 555 0143	863 555 0165	0:05:35	General Phones
15 Sep 2006	09:10	863 555 0143	863 555 0174	0:12:42	Car Fones
14 Sep 2006	12:51	863 555 0143	863 555 0102	0:13:08	Omega
10 Sep 2006	23:35	863 555 0143	863 555 0173	0:11:48	123 Talk
11 Sep 2006	22:31	863 555 0143	863 555 0140	0:12:05	ABC Cellphones
17 Sep 2006	17:35	863 555 0143	863 555 0115	0:09:36	General Phones
18 Sep 2006	10:56	863 555 0143	863 555 0187	0:12:12	Car Fones
13 Sep 2006	23:12	863 555 0143	863 555 0138	0:12:11	Omega
02 Sep 2006	15:58	863 555 0143	863 555 0128	0:09:11	123 Talk
26 Sep 2006	19:10	863 555 0143	863 555 0198	0:14:29	ABC Cellphones
28 Sep 2006	19:13	863 555 0143	863 555 0140	0:12:00	ABC Cellphones
27 Sep 2006	22:54	863 555 0143	863 555 0173	0:11:48	123 Talk
11 Sep 2006	21:51	863 555 0143	863 555 0188	0:11:55	Omega
30 Sep 2006	20:15	863 555 0143	863 555 0165	0:10:03	General Phones
18 Sep 2006	23:25	863 555 0143	863 555 0122	0:05:04	ABC Cellphones
02 Sep 2006	21:34	863 555 0143	863 555 0156	0:08:59	General Phones
22 Sep 2006	10:46	863 555 0143	863 555 0107	0:14:33	Car Fones
23 Sep 2006	12:34	863 555 0143	863 555 0103	0:05:10	Omega
28 Sep 2006	23:08	863 555 0143	863 555 0186	0:13:35	123 Talk
13 Sep 2006	21:21	863 555 0143	863 555 0173	0:04:47	123 Talk
24 Sep 2006	18:24	863 555 0143	863 555 0151	0:14:08	General Phones
10 Sep 2006	17:25	863 555 0143	863 555 0171	0:12:31	Car Fones
08 Sep 2006	18:57	863 555 0143	863 555 0144	0:12:17	Omega
16 Sep 2006	21:24	863 555 0143	863 555 0194	0:09:27	123 Talk
09 Sep 2006	14:33	863 555 0143	863 555 0153	0:12:51	ABC Cellphones
15 Sep 2006	13:56	863 555 0143	863 555 0151	0:05:15	General Phones
30 Sep 2006	18:21	863 555 0143	863 555 0154	0:10:26	Car Fones
26 Sep 2006	15:13	863 555 0143	863 555 0144	0:12:17	Omega
07 Sep 2006	15:49	863 555 0143	863 555 0110	0:11:30	123 Talk
10 Sep 2006	20:39	863 555 0143	863 555 0117	0:08:44	ABC Cellphones
23 Sep 2006	15:16	863 555 0143	863 555 0140	0:04:43	ABC Cellphones
27 Sep 2006	21:54	863 555 0143	863 555 0141	0:10:57	Car Fones
08 Sep 2006	22:09	863 555 0143	863 555 0114	0:05:56	Omega
29 Sep 2006	16:14	863 555 0143	863 555 0135	0:03:10	123 Talk
02 Sep 2006	18:31	863 555 0143	863 555 0135	0:07:14	123 Talk
25 Sep 2006	16:01	863 555 0143	863 555 0113	0:12:55	General Phones
09 Sep 2006	17:03	863 555 0143	863 555 0113	0:10:28	General Phones
18 Sep 2006	13:39	863 555 0143	863 555 0114	0:05:56	Omega
28 Sep 2006	23:48	863 555 0143	863 555 0148	0:04:25	123 Talk
30 Sep 2006	11:17	863 555 0143	863 555 0125	0:13:20	ABC Cellphones
15 Sep 2006	16:30	863 555 0143	863 555 0181	0:12:20	General Phones
30 Sep 2006	18:16	863 555 0143	863 555 0122	0:09:16	ABC Cellphones
01 Sep 2006	19:43	863 555 0143	863 555 0157	0:14:55	Omega
03 Sep 2006	13:00	863 555 0143	863 555 0173	0:13:56	123 Talk
09 Sep 2006	16:49	863 555 0143	863 555 0132	0:13:10	ABC Cellphones
27 Sep 2006	19:40	863 555 0143	863 555 0121	0:13:54	General Phones
27 Sep 2006	12:11	863 555 0143	863 555 0121	0:06:38	General Phones
04 Sep 2006	19:13	863 555 0143	863 555 0122	0:09:16	ABC Cellphones
23 Sep 2006	21:01	863 555 0143	863 555 0173	0:13:56	123 Talk
29 Sep 2006	17:12	863 555 0143	863 555 0105	0:13:51	ABC Cellphones
10 Sep 2006	22:57	863 555 0143	863 555 0129	0:08:34	General Phones
01 Sep 2006	10:40	863 555 0143	863 555 0165	0:04:45	General Phones
14 Sep 2006	09:10	863 555 0143	863 555 0109	0:11:26	Omega
24 Sep 2006	19:10	863 555 0143	863 555 0154	0:04:58	Car Fones
12 Sep 2006	16:40	863 555 0143	863 555 0163	0:09:49	ABC Cellphones
12 Sep 2006	19:23	863 555 0143	863 555 0111	0:08:09	General Phones
02 Sep 2006	17:13	863 555 0143	863 555 0129	0:06:47	General Phones
09 Sep 2006	16:03	863 555 0143	863 555 0156	0:05:10	General Phones
07 Sep 2006	11:40	863 555 0143	863 555 0193	0:05:28	123 Talk
07 Sep 2006	21:13	863 555 0143	863 555 0194	0:11:31	123 Talk
21 Sep 2006	09:54	863 555 0143	863 555 0104	0:04:47	General Phones
05 Sep 2006	17:09	863 555 0143	863 555 0179	0:14:00	Car Fones
14 Sep 2006	14:42	863 555 0143	863 555 0191	0:09:34	Omega
11 Sep 2006	11:57	863 555 0143	863 555 0115	0:06:26	General Phones
08 Sep 2006	12:06	863 555 0143	863 555 0169	0:13:21	ABC Cellphones
