Date	Time	Number	Destination Number	Duration
16 Sep 2006	23:34	863 555 0143	863 555 0140	0:06:07
16 Sep 2006	15:50	863 555 0143	863 555 0165	0:05:35
16 Sep 2006	09:10	863 555 0143	863 555 0174	0:12:42
16 Sep 2006	12:51	863 555 0143	863 555 0102	0:13:08
%16 Sep 2006	12:51	863 555 0143	863 555 0102	0:13:08
16 Sep 2006	23:35	863 555 0143	863 555 0156	0:11:48
16 Sep 2006	22:31	863 555 0143	863 555 0140	0:12:05
%16 Sep 2006	22:31	863 555 0143	863 555 0140	0:12:05
16 Sep 2006	17:35	863 555 0143	863 555 0156	0:09:36
16 Sep 2006	10:56	863 555 0143	863 555 0187	0:12:12
16 Sep 2006	23:12	863 555 0143	863 555 0138	0:12:11
16 Sep 2006	15:58	863 555 0143	863 555 0128	0:09:11
16 Sep 2006	19:10	863 555 0143	863 555 0140	0:14:29
16 Sep 2006	19:13	863 555 0143	863 555 0140	0:12:00
16 Sep 2006	22:54	863 555 0143	863 555 0173	0:11:48
%16 Sep 2006	22:54	863 555 0143	863 555 0173	0:11:48
16 Sep 2006	21:51	863 555 0143	863 555 0188	0:11:55
16 Sep 2006	20:15	863 555 0143	863 555 0165	0:10:03
16 Sep 2006	23:25	863 555 0143	863 555 0122	0:05:04
16 Sep 2006	21:34	863 555 0143	863 555 0156	0:08:59
16 Sep 2006	10:46	863 555 0143	863 555 0107	0:14:33
16 Sep 2006	12:34	863 555 0143	863 555 0103	0:05:10
